   Compiling mechanic-physics v0.1.0 (/Users/jens/repos/mechanic/crates/mechanic-physics)
    Finished `test` profile [optimized + debuginfo] target(s) in 1.43s
     Running unittests src/lib.rs (target/debug/deps/mechanic_physics-ced37d44e4e3378f)

running 1 test
event refinement dt=3.196346642329688e-3 elapsed=4.303035324711823e-3 hit=TerrainSweepHit { collider: 40, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 1.0141085340364953e-6, separation: 2.7755575615628914e-16 }
event refinement dt=3.1963433844668585e-3 elapsed=4.303038566154231e-3 hit=TerrainSweepHit { collider: 40, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 1.9802968154181144e-8, separation: 1.1102230246251565e-16 }
event refinement dt=3.196343320850139e-3 elapsed=4.303038629451317e-3 hit=TerrainSweepHit { collider: 40, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 3.8673420021950733e-10, separation: 1.1102230246251565e-16 }
event refinement dt=1.6666666666666666e-2 elapsed=0e0 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.3020912626620304, separation: 1.6653345369377348e-16 }
event refinement dt=1.163181228896616e-2 elapsed=5.034854377700506e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.0968126204668137, separation: 1.1102230246251565e-16 }
event refinement dt=1.050570606049326e-2 elapsed=6.160960606173407e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.020669198430209354, separation: 6.106226635438361e-16 }
event refinement dt=1.0288561537279473e-2 elapsed=6.378105129387195e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.003951948023943555, separation: 1.1102230246251565e-16 }
event refinement dt=1.0247901676842999e-2 elapsed=6.418764989823668e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.0007388422950263295, separation: -1.6653345369377348e-16 }
event refinement dt=1.0240330093648876e-2 elapsed=6.426336573017791e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.00013754571886810283, separation: -1.1102230246251565e-16 }
event refinement dt=1.0238921580084697e-2 elapsed=6.4277450865819685e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 2.5585739817420104e-5, separation: 2.5368596112684827e-14 }
event refinement dt=1.023865960970114e-2 elapsed=6.428007056965527e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.758668737886081e-6, separation: 4.440892098500626e-16 }
event refinement dt=1.0238610887311737e-2 elapsed=6.42805577935493e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 8.850351878493691e-7, separation: 2.7755575615628914e-16 }
event refinement dt=1.0238601825780826e-2 elapsed=6.42806484088584e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 1.64601337101251e-7, separation: -1.1102230246251565e-16 }
event refinement dt=1.0238600140493277e-2 elapsed=6.42806652617339e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 3.061301498542927e-8, separation: -3.885780586188048e-16 }
event refinement dt=1.0238599827058856e-2 elapsed=6.42806683960781e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 5.693405401835308e-9, separation: -5.551115123125783e-17 }
event refinement dt=1.0238599768766357e-2 elapsed=6.428066897900309e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 1.0589080842646204e-9, separation: 5.551115123125783e-17 }
event refinement dt=1.023859975792462e-2 elapsed=6.428066908742046e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 1.9696158553795163e-10, separation: -2.220446049250313e-16 }
